# Twelve original Havoc variants. These have no Unicode glyph and remain locked in the prototype.
# id	name	visual treatment
crowned-chaos	Crowned Chaos	royal violet sphere, gold crown, asymmetric grin
liquid-gold	Liquid Gold	metallic gold sphere, molten drip, confident smile
jeweled-gaze	Jeweled Gaze	ink sphere, faceted gemstone eyes, tiny cyan smile
electric-pulse	Electric Pulse	cyan sphere, violet lightning eyes, charged grin
fire-eyes	Fire Eyes	coral sphere, flame eyes, dark open smile
chrome-mischief	Chrome Mischief	chrome sphere, purple wink, polished smirk
cosmic-spiral	Cosmic Spiral	midnight sphere, galaxy spiral eyes, starlit smile
holographic-wink	Holographic Wink	iridescent sphere, wink, spectral cheek flash
diamond-grin	Diamond Grin	ice-blue sphere, faceted grin, sharp highlights
void-halo	Void Halo	near-black sphere, violet halo, luminous closed eyes
neon-venom	Neon Venom	acid-lime sphere, ink fangs, cyan tongue
royal-freeze	Royal Freeze	frosted blue sphere, silver crown, cool smirk
